show_id,title,date_added
1,Dick Johnson Is Dead,2021-09-25
2,Blood & Water,2021-09-24
3,Ganglands,2021-09-24
4,Jailbirds New Orleans,2021-09-24
5,Kota Factory,2021-09-24
6,Midnight Mass,2021-09-24
7,My Little Pony: A New Generation,2021-09-24
8,Sankofa,2021-09-24
9,The Great British Baking Show,2021-09-24
10,The Starling,2021-09-24
11,"Vendetta: Truth, Lies and The Mafia",2021-09-24
12,Bangkok Breaking,2021-09-23
13,Je Suis Karl,2021-09-23
14,Confessions of an Invisible Girl,2021-09-22
15,Crime Stories: India Detectives,2021-09-22
16,Dear White People,2021-09-22
17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2021-09-22
18,Falsa identidad,2021-09-22
19,Intrusion,2021-09-22
20,Jaguar,2021-09-22
21,Monsters Inside: The 24 Faces of Billy Milligan,2021-09-22
22,Resurrection: Ertugrul,2021-09-22
23,Avvai Shanmughi,2021-09-21
24,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021-09-21
25,Jeans,2021-09-21
26,Love on the Spectrum,2021-09-21
27,Minsara Kanavu,2021-09-21
28,Grown Ups,2021-09-20
29,Dark Skies,2021-09-19
30,Paranoia,2021-09-19
31,Ankahi Kahaniya,2021-09-17
32,Chicago Party Aunt,2021-09-17
33,Sex Education,2021-09-17
34,Squid Game,2021-09-17
35,Tayo and Little Wizards,2021-09-17
36,The Father Who Moves Mountains,2021-09-17
37,The Stronghold,2021-09-17
38,Angry Birds,2021-09-16
39,Birth of the Dragon,2021-09-16
40,Chhota Bheem,2021-09-16
41,He-Man and the Masters of the Universe,2021-09-16
42,Jaws,2021-09-16
43,Jaws 2,2021-09-16
44,Jaws 3,2021-09-16
45,Jaws: The Revenge,2021-09-16
46,My Heroes Were Cowboys,2021-09-16
47,Safe House,2021-09-16
48,The Smart Money Woman,2021-09-16
49,Training Day,2021-09-16
50,Castle and Castle,2021-09-15
51,Dharmakshetra,2021-09-15
52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2021-09-15
53,InuYasha the Movie 3: Swords of an Honorable Ruler,2021-09-15
