,count
unknown,2634
Rajiv Chilaka,22
Jan Suter,21
Raúl Campos,19
Suhas Kadav,16
Marcus Raboy,16
Jay Karas,15
Cathy Garcia-Molina,13
Martin Scorsese,12
Jay Chapman,12
Youssef Chahine,12
Steven Spielberg,11
Don Michael Paul,10
Yılmaz Erdoğan,9
David Dhawan,9
Shannon Hartman,9
Anurag Kashyap,9
Lance Bangs,8
Ryan Polito,8
Robert Rodriguez,8
Kunle Afolayan,8
Johnnie To,8
Hakan Algül,8
Justin G. Dyck,8
Umesh Mehra,8
Troy Miller,8
Fernando Ayllón,8
Hanung Bramantyo,8
Quentin Tarantino,8
S.S. Rajamouli,7
Ozan Açıktan,7
Lasse Hallström,7
Ron Howard,7
McG,7
Prakash Satam,7
Omoni Oboli,7
Mae Czarina Cruz,7
Dibakar Banerjee,7
Noah Baumbach,7
Ram Gopal Varma,7
Priyadarshan,7
Leslie Small,7
Hidenori Inoue,7
Clint Eastwood,7
Toshiya Shinohara,7
Sooraj R. Barjatya,6
Michael Simon,6
Jesse V. Johnson,6
Rajkumar Santoshi,6
Sameh Abdulaziz,6
Steven Soderbergh,6
Robert Vince,6
Wong Jing,6
Kevin Smith,6
David Fincher,6
William Lau,6
Karan Johar,6
Steve Brill,6
Joey So,6
Steve Ball,6
Anees Bazmee,6
Vlad Yudin,6
Rocky Soraya,6
Milan Luthria,6
Imtiaz Ali,6
Zoya Akhtar,6
Tilak Shetty,6
Robert Luketic,6
Wenn V. Deramas,6
Riri Riza,6
Manny Rodriguez,6
Ashutosh Gowariker,6
Matt Askem,6
John Paul Tremblay,5
Mike Smith,5
Detlev Buck,5
Vishal Bhardwaj,5
Mani Ratnam,5
Andy Tennant,5
Shigeaki Kubo,5
Mastan Alibhai Burmawalla,5
Masahiko Murata,5
Madhur Bhandarkar,5
Wilson Yip,5
Rajiv Mehra,5
Ava DuVernay,5
Rohit Shetty,5
Poj Arnon,5
Mahesh Manjrekar,5
Lynn Shelton,5
David Batty,5
Jay Roach,5
Oliver Stone,5
Vince Marcello,5
John G. Avildsen,5
Ken Burns,5
Stanley Moore,5
Joe Berlinger,5
Anurag Basu,5
Alex Woo,5
Khaled Marei,5
Prakash Jha,5
Kıvanç Baruönü,5
