show_id,title,minutes
4254,Black Mirror: Bandersnatch,312.0
718,Headspace: Unwind Your Mind,273.0
2492,The School of Mischief,253.0
2488,No Longer kids,237.0
2485,Lock Your Girls In,233.0
2489,Raya and Sakina,230.0
167,Once Upon a Time in America,229.0
7933,Sangam,228.0
1020,Lagaan,224.0
4574,Jodhaa Akbar,214.0
808,Seven Souls in the Skull Castle: Season Moon Kagen,212.0
3228,The Irishman,209.0
2732,Kabhi Khushi Kabhie Gham,209.0
2633,No Direction Home: Bob Dylan,208.0
8328,The Gospel of Luke,205.0
807,Seven Souls in the Skull Castle: Season Moon Jogen,204.0
2484,Fifty Year Old Teenager,204.0
2127,What's Your Raashee?,203.0
8405,The Lord of the Rings: The Return of the King,201.0
6620,Doctor Zhivago,200.0
6681,Elephants Dream 4 Hour,196.0
2491,The Married Couples,195.0
7958,Schindler's List,195.0
2374,Saladin,194.0
2958,Hum Aapke Hain Koun,193.0
2731,Kabhi Alvida Naa Kehna,192.0
7388,Maine Pyar Kiya,192.0
8765,Wyatt Earp,191.0
8330,The Gospel of Matthew,190.0
2544,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,190.0
342,Magnolia,189.0
7707,Pardes,187.0
2733,Kal Ho Naa Ho,187.0
2844,Aurora,186.0
7531,Mutiny on the Bounty,185.0
5015,Swades,185.0
3132,Dil Chahta Hai,185.0
2735,Kuch Kuch Hota Hai,185.0
1133,Seven Souls in the Skull Castle: Season Wind,185.0
3143,Lakshya,185.0
1248,Banyuki,182.0
74,King of Boys,182.0
1131,Seven Souls in the Skull Castle: Season Bird,182.0
1132,Seven Souls in the Skull Castle: Season Flower,181.0
6747,Fiddler on the Roof,181.0
7134,Jis Desh Men Ganga Behti Hai,181.0
1252,Dances with Wolves,181.0
2650,This Earth of Mankind,180.0
6339,Blue Is the Warmest Color,180.0
5618,Happy New Year,179.0
8406,The Lord of the Rings: The Two Towers,179.0
7828,Ram Teri Ganga Maili,178.0
7825,Raja Hindustani,177.0
8145,Taal,177.0
1256,Seven Souls in the Skull Castle 2011,177.0
2483,Bye Bye London,177.0
3632,Manu,177.0
6031,A Bridge Too Far,176.0
7023,Hum Saath-Saath Hain,176.0
3702,Super Deluxe,176.0
2970,Together For Eternity,176.0
6611,Dil Hai Tumhaara,176.0
3133,Dil Dhadakne Do,174.0
2716,Agneepath,174.0
2490,Sayed the Servant,173.0
7161,Kaalia,173.0
7923,Sairat,173.0
1945,Mann,173.0
1127,My Fair Lady,173.0
8630,Trimurti,173.0
6131,Amar Akbar Anthony,172.0
2739,Muqaddar ka Faisla,172.0
6502,Cloud Atlas,172.0
3164,Saaho,172.0
4953,Main Hoon Na,171.0
3510,Kabir Singh,171.0
2917,Panipat - The Great Betrayal,171.0
7558,Namak Halaal,171.0
1653,Andhaghaaram,171.0
1654,Andhakaaram,171.0
8771,Yaadein,171.0
3934,Petta (Telugu Version),170.0
3940,Petta,170.0
6981,Ho Mann Jahaan,170.0
7184,Khalnayak,170.0
2722,Duniya,170.0
4955,Om Shanti Om,169.0
3134,Don,169.0
6351,Bobby,168.0
3895,A Fortunate Man,168.0
5204,The Hateful Eight,168.0
4731,Mohenjo Daro,168.0
7995,Shakti: The Power,168.0
8005,Shiva,168.0
5572,Asoka,168.0
6827,Gangs of New York,167.0
25,Jeans,166.0
5336,Baahubali 2: The Conclusion (Malayalam Version),166.0
4793,Chalte Chalte,166.0
6247,Barsaat,166.0
5008,Dil Se,166.0
5337,Baahubali 2: The Conclusion (Tamil Version),166.0
2341,Vivah,166.0
7660,Once Upon a Time in the West,166.0
7250,Kyun! Ho Gaya Na,165.0
2723,Duplicate,165.0
7566,Natsamrat - Asa Nat Hone Nahi,165.0
203,Kyaa Kool Hai Hum,165.0
1862,Dil,165.0
393,Django Unchained,165.0
5335,Baahubali 2: The Conclusion (Hindi Version),165.0
7802,Pukar,165.0
2340,Prem Ratan Dhan Payo,164.0
6074,Aarakshan,164.0
5482,Chamatkar,164.0
1115,3 Idiots,164.0
5501,English Babu Desi Mem,163.0
7347,Love Ni Bhavai,163.0
5132,Shikari,163.0
5401,Professor,163.0
5305,Mujrim,163.0
6845,Ghayal,163.0
7110,Jaan-E-Mann: Let's Fall in Love... Again,163.0
6145,American Honey,163.0
8510,The Sinking Of Van Der Wijck,163.0
7701,Palm Trees in the Snow,163.0
4724,Fiza,163.0
1023,Taare Zameen Par,162.0
4732,Raajneeti,162.0
2286,Players,162.0
4692,Mersal,162.0
6655,Dum,162.0
1306,Awara Paagal Deewana,162.0
2273,Drishyam,162.0
2841,Angu Vaikuntapurathu (Malayalam),162.0
4050,Sarkar,162.0
1674,Black Friday,162.0
8640,Tukaram,162.0
2874,Ala Vaikunthapurramuloo,162.0
5131,Jaal,162.0
5304,Manoranjan,162.0
5421,Dangal,161.0
6852,Ghulam-E-Musthafa,161.0
8333,The Great Gambler,161.0
5463,Qila,161.0
8327,The Gospel of John,161.0
23,Avvai Shanmughi,161.0
3662,Bogda,161.0
2724,Friendship,161.0
1423,Apaharan,161.0
7591,No Entry,161.0
5575,One 2 Ka 4,160.0
2761,Kannum Kannum Kollaiyadithaal,160.0
5310,Sohni Mahiwal,160.0
2546,Andaz Apna Apna,160.0
5339,Baahubali: The Beginning (Malayalam Version),160.0
5022,Yuva,160.0
4957,Phir Bhi Dil Hai Hindustani,159.0
5338,Baahubali: The Beginning (Hindi Version),159.0
5340,Baahubali: The Beginning (Tamil Version),159.0
4733,Rang De Basanti,159.0
688,Jagame Thandhiram,159.0
4508,Sanju,159.0
8321,The Girl with the Dragon Tattoo,158.0
8803,Zodiac,158.0
