category_id,category_name
0,Documentaries
1,International TV Shows
2,TV Dramas
3,TV Mysteries
4,Crime TV Shows
5,TV Action & Adventure
6,Docuseries
7,Reality TV
8,Romantic TV Shows
9,TV Comedies
10,TV Horror
11,Children & Family Movies
12,Dramas
13,Independent Movies
14,International Movies
15,British TV Shows
16,Comedies
17,Spanish-Language TV Shows
18,Thrillers
19,Romantic Movies
20,Music & Musicals
21,Horror Movies
22,Sci-Fi & Fantasy
23,TV Thrillers
24,Kids' TV
25,Action & Adventure
26,TV Sci-Fi & Fantasy
27,Classic Movies
28,Anime Features
29,Sports Movies
30,Anime Series
31,Korean TV Shows
32,Science & Nature TV
33,Teen TV Shows
34,Cult Movies
35,TV Shows
36,Faith & Spirituality
37,LGBTQ Movies
38,Stand-Up Comedy
39,Movies
40,Stand-Up Comedy & Talk Shows
41,Classic & Cult TV
