movie_duration_id,show_id,minutes
0,1,90
1,7,91
2,8,125
3,10,104
4,13,127
5,14,91
6,17,67
7,19,94
8,23,161
9,24,61
10,25,166
11,27,147
12,28,103
13,29,97
14,30,106
15,31,111
16,36,110
17,37,105
18,39,96
19,42,124
20,43,116
21,44,98
22,45,91
23,46,23
24,47,115
25,49,122
26,52,99
27,53,99
28,54,88
29,55,100
30,57,102
31,58,93
32,59,96
33,60,95
34,61,85
35,62,97
36,63,95
37,64,83
38,65,103
39,69,113
40,72,13
41,74,182
42,76,106
43,78,48
44,79,145
45,80,145
46,81,93
47,82,106
48,85,147
49,87,87
50,89,96
51,91,95
52,92,92
53,94,91
54,95,90
55,97,97
56,102,80
57,104,117
58,106,128
59,108,90
60,113,119
61,114,110
62,115,143
63,116,119
64,117,114
65,118,94
66,119,106
67,120,99
68,123,118
69,127,115
70,128,95
71,129,115
72,130,108
73,131,63
74,132,117
75,134,121
76,135,142
77,136,113
78,137,154
79,138,95
80,139,108
81,140,120
82,141,100
83,142,82
84,143,124
85,144,114
86,145,104
87,146,94
88,147,94
89,150,93
90,151,97
91,152,109
92,153,88
93,156,101
94,157,105
95,158,102
96,159,101
97,160,103
98,162,106
99,163,118
100,164,86
101,165,121
102,167,229
103,168,76
104,169,95
105,170,98
106,171,89
107,172,120
108,173,110
109,174,83
110,175,121
111,176,105
112,177,94
113,178,156
114,179,112
115,180,95
116,181,107
117,183,114
118,184,129
119,186,86
120,189,97
121,191,125
122,192,107
123,193,127
124,196,128
125,197,92
126,200,135
127,201,124
128,202,136
129,203,165
130,204,124
131,205,136
132,206,150
133,207,112
134,208,119
135,209,133
136,210,142
137,211,93
138,212,113
139,215,124
140,216,116
141,217,106
142,218,145
143,222,93
144,228,95
145,229,108
146,230,90
147,231,86
148,232,92
149,234,82
150,236,70
151,237,122
152,238,122
153,239,122
154,240,122
155,241,84
156,245,96
157,247,115
158,248,110
159,250,88
160,251,102
161,252,91
162,253,105
163,254,135
164,256,86
165,257,140
166,258,133
167,259,92
168,260,82
169,262,97
170,263,78
171,265,94
172,268,121
173,269,97
174,271,110
175,279,64
176,280,59
177,282,101
178,283,127
179,284,90
180,285,114
181,286,108
182,291,70
183,293,98
184,294,86
185,295,139
186,296,111
187,299,115
188,300,102
189,301,100
190,302,135
191,303,69
192,304,95
193,305,97
194,306,124
195,307,118
196,308,115
197,309,115
198,315,104
199,316,106
200,318,102
201,319,97
202,326,87
203,327,88
204,328,114
205,329,90
206,330,142
207,331,90
208,333,105
209,334,103
210,335,116
211,336,113
212,338,99
213,340,96
214,341,148
215,342,189
216,343,97
217,344,102
218,345,99
219,346,85
220,347,112
221,348,91
222,349,91
223,350,141
224,351,130
225,352,98
226,353,105
227,354,101
228,355,105
229,356,118
230,357,97
231,358,102
232,359,114
233,360,111
234,361,125
235,363,76
236,364,118
237,366,103
238,368,114
239,372,95
240,373,138
241,374,112
242,375,94
243,376,102
244,378,92
245,379,81
246,384,143
247,385,86
248,388,132
249,390,117
250,393,165
251,394,91
252,395,97
253,396,97
254,397,123
255,399,94
256,403,111
257,405,85
258,406,65
259,407,64
260,408,68
261,409,67
262,410,66
263,411,64
264,412,64
265,413,65
266,414,64
267,415,68
268,416,68
269,417,64
270,418,62
271,419,63
272,420,69
273,421,70
274,422,63
275,423,68
276,424,74
277,425,68
278,427,99
279,428,90
280,429,87
281,430,105
282,433,106
283,434,102
284,437,91
285,438,88
286,439,107
287,440,101
288,442,114
289,444,123
290,446,94
291,447,105
292,448,117
293,449,115
294,450,124
295,451,131
296,452,122
297,453,113
298,455,91
299,456,100
300,458,93
301,459,90
302,461,86
303,462,100
304,463,96
305,464,95
306,465,115
307,468,100
308,469,102
309,470,87
310,471,39
311,472,110
312,474,93
313,475,96
314,476,93
315,477,93
316,480,111
317,481,105
318,482,101
319,484,102
320,485,46
321,486,89
322,487,94
323,490,104
324,492,97
325,493,91
326,495,106
327,496,38
328,497,90
329,499,87
330,501,138
331,502,105
332,503,104
333,506,85
334,507,92
335,508,108
336,509,95
337,519,105
338,529,116
339,530,124
340,532,101
341,535,95
342,542,128
343,543,143
344,551,107
345,552,136
346,553,94
347,555,136
348,556,126
349,557,116
350,558,100
351,559,115
352,560,125
353,561,39
354,562,94
355,563,90
356,564,95
357,565,155
358,567,98
359,568,108
360,569,96
361,570,117
362,571,118
363,573,103
364,574,94
365,575,93
366,576,115
367,577,120
368,579,145
369,580,126
370,581,96
371,582,101
372,583,118
373,584,109
374,585,89
375,586,106
376,587,101
377,590,101
378,592,123
379,593,106
380,594,89
381,595,128
382,596,85
383,597,89
384,598,108
385,599,105
386,600,133
387,601,129
388,602,127
389,603,113
390,604,112
391,605,130
392,606,100
393,607,103
394,608,85
395,609,124
396,610,103
397,611,121
398,612,89
399,613,92
400,614,112
401,615,114
402,616,116
403,617,110
404,619,98
405,620,98
406,623,100
407,624,90
408,625,92
409,630,82
410,631,97
411,633,90
412,634,76
413,635,83
414,636,101
415,637,109
416,642,97
417,644,87
418,645,94
419,646,89
420,647,88
421,650,108
422,651,96
423,652,84
424,653,70
425,655,125
426,656,119
427,657,105
428,671,133
429,672,140
430,673,120
431,684,135
432,686,111
433,688,159
434,689,119
435,690,139
436,691,137
437,694,101
438,695,13
439,696,12
440,699,101
441,702,96
442,703,122
443,705,95
444,706,89
445,709,98
446,712,119
447,713,138
448,717,104
449,718,273
450,719,101
451,722,99
452,723,84
453,725,82
454,728,97
455,729,89
456,730,36
457,731,34
458,733,36
459,736,113
460,737,110
461,739,36
462,740,102
463,741,86
464,742,91
465,743,117
466,744,99
467,746,77
468,747,97
469,748,106
470,751,97
471,753,104
472,755,110
473,756,61
474,757,98
475,758,74
476,760,60
477,761,60
478,763,103
479,765,94
480,766,112
481,767,49
482,769,111
483,770,58
484,771,72
485,774,78
486,775,101
487,776,110
488,777,94
489,778,70
490,780,118
491,782,99
492,783,103
493,784,95
494,785,93
495,787,101
496,788,101
497,789,89
498,791,109
499,792,104
500,793,90
501,794,109
502,795,145
503,797,88
504,798,132
505,799,109
506,800,133
507,801,85
508,802,104
509,803,99
510,805,93
511,807,204
512,808,212
513,809,98
514,810,101
515,811,94
516,812,25
517,813,99
518,815,108
519,816,106
520,817,128
521,818,104
522,819,127
523,820,136
524,822,97
525,823,88
526,824,97
527,825,97
528,827,88
529,828,103
530,829,97
531,830,88
532,835,97
533,837,118
534,839,70
535,840,91
536,841,92
537,842,120
538,845,73
539,846,110
540,847,94
541,850,61
542,851,131
543,852,131
544,853,131
545,854,148
546,855,29
547,857,107
548,859,99
549,860,92
550,861,91
551,862,47
552,864,88
553,865,116
554,866,109
555,867,92
556,868,87
557,871,101
558,872,140
559,873,89
560,874,81
561,876,116
562,878,99
563,879,107
564,882,107
565,883,90
566,886,104
