tv_show_duration_id,show_id,seasons
0,2,2
1,3,1
2,4,1
3,5,2
4,6,1
5,9,9
6,11,1
7,12,1
8,15,1
9,16,4
10,18,2
11,20,1
12,21,1
13,22,5
14,26,2
15,32,1
16,33,3
17,34,1
18,35,1
19,38,1
20,40,3
21,41,1
22,48,1
23,50,2
24,51,1
25,56,6
26,66,6
27,67,1
28,68,9
29,70,1
30,71,1
31,73,5
32,75,2
33,77,1
34,83,6
35,84,1
36,86,1
37,88,2
38,90,4
39,93,2
40,96,3
41,98,2
42,99,1
43,100,1
44,101,2
45,103,1
46,105,2
47,107,5
48,109,1
49,110,5
50,111,1
51,112,1
52,121,1
53,122,1
54,124,1
55,125,3
56,126,1
57,133,1
58,148,1
59,149,1
60,154,2
61,155,3
62,161,4
63,166,1
64,182,1
65,185,1
66,187,1
67,188,1
68,190,2
69,194,1
70,195,1
71,198,1
72,199,1
73,213,2
74,214,3
75,219,1
76,220,1
77,221,4
78,223,1
79,224,1
80,225,1
81,226,1
82,227,1
83,233,3
84,235,1
85,242,3
86,243,1
87,244,1
88,246,1
89,249,1
90,255,5
91,261,1
92,264,2
93,266,1
94,267,1
95,270,2
96,272,1
97,273,5
98,274,1
99,275,7
100,276,1
101,277,2
102,278,1
103,281,1
104,287,2
105,288,1
106,289,1
107,290,1
108,292,1
109,297,1
110,298,1
111,310,3
112,311,1
113,312,2
114,313,1
115,314,1
116,317,1
117,320,1
118,321,1
119,322,1
120,323,1
121,324,7
122,325,3
123,332,1
124,337,5
125,339,6
126,362,3
127,365,1
128,367,3
129,369,1
130,370,1
131,371,2
132,377,1
133,380,1
134,381,7
135,382,1
136,383,3
137,386,3
138,387,4
139,389,1
140,391,10
141,392,4
142,398,1
143,400,1
144,401,1
145,402,2
146,404,2
147,426,5
148,431,1
149,432,1
150,435,1
151,436,1
152,441,3
153,443,1
154,445,1
155,454,2
156,457,1
157,460,2
158,466,1
159,467,1
160,473,1
161,478,4
162,479,2
163,483,1
164,488,1
165,489,3
166,491,1
167,494,1
168,498,1
169,500,2
170,504,2
171,505,1
172,510,3
173,511,2
174,512,2
175,513,4
176,514,3
177,515,5
178,516,2
179,517,2
180,518,2
181,520,2
182,521,2
183,522,5
184,523,3
185,524,3
186,525,2
187,526,8
188,527,7
189,528,2
190,531,2
191,533,3
192,534,3
193,536,2
194,537,3
195,538,6
196,539,2
197,540,2
198,541,4
199,544,2
200,545,5
201,546,3
202,547,1
203,548,1
204,549,17
205,550,1
206,554,2
207,566,1
208,572,1
209,578,1
210,588,1
211,589,1
212,591,3
213,618,1
214,621,1
215,622,1
216,626,1
217,627,1
218,628,1
219,629,4
220,632,5
221,638,1
222,639,1
223,640,1
224,641,1
225,643,2
226,648,1
227,649,2
228,654,1
229,658,2
230,659,1
231,660,1
232,661,4
233,662,4
234,663,1
235,664,1
236,665,2
237,666,2
238,667,1
239,668,6
240,669,3
241,670,5
242,674,1
243,675,2
244,676,1
245,677,4
246,678,6
247,679,1
248,680,1
249,681,1
250,682,1
251,683,1
252,685,4
253,687,2
254,692,1
255,693,1
256,697,2
257,698,1
258,700,1
259,701,1
260,704,3
261,707,1
262,708,1
263,710,3
264,711,1
265,714,1
266,715,1
267,716,1
268,720,1
269,721,2
270,724,1
271,726,1
272,727,1
273,732,2
274,734,2
275,735,2
276,738,1
277,745,1
278,749,1
279,750,2
280,752,2
281,754,1
282,759,2
283,762,1
284,764,1
285,768,1
286,772,1
287,773,2
288,779,1
289,781,2
290,786,3
291,790,6
292,796,3
293,804,1
294,806,1
295,814,1
296,821,3
297,826,2
298,831,3
299,832,2
300,833,1
301,834,1
302,836,1
303,838,2
304,843,1
305,844,3
306,848,1
307,849,3
308,856,3
309,858,2
310,863,2
311,869,1
312,870,2
313,875,1
314,877,1
315,880,1
316,881,3
317,884,2
318,885,1
319,887,1
320,891,4
321,897,1
322,898,1
323,901,1
324,903,1
325,909,1
326,912,2
327,919,1
328,920,1
329,921,2
330,922,3
331,924,2
332,926,2
333,928,2
334,937,1
335,958,1
336,961,1
337,964,2
338,966,1
339,968,1
340,969,1
341,973,1
342,989,1
343,994,1
344,998,1
345,1004,1
346,1005,2
347,1013,2
348,1015,3
349,1026,1
350,1033,1
351,1039,1
352,1041,1
353,1043,1
354,1044,7
355,1045,1
356,1046,1
357,1048,1
358,1049,3
359,1050,1
360,1052,2
361,1057,1
362,1058,1
363,1059,1
364,1060,6
365,1061,1
366,1062,1
367,1063,1
368,1064,1
369,1065,1
370,1066,3
371,1068,1
372,1069,1
373,1076,1
374,1080,1
375,1082,4
376,1083,1
377,1085,1
378,1092,1
379,1094,2
380,1095,1
381,1096,1
382,1117,1
383,1124,2
384,1126,2
385,1128,2
386,1130,2
387,1144,1
388,1147,1
389,1149,2
390,1150,1
391,1153,1
392,1159,4
393,1164,1
394,1167,1
395,1169,1
396,1170,1
397,1174,6
398,1175,1
399,1180,4
400,1181,2
401,1182,1
402,1183,3
403,1187,2
404,1197,1
405,1201,1
406,1202,1
407,1206,1
408,1207,1
409,1211,2
410,1214,3
411,1218,1
412,1224,1
413,1225,1
414,1226,1
415,1227,1
416,1228,1
417,1230,1
418,1232,1
419,1235,1
420,1236,4
421,1239,1
422,1243,1
423,1246,5
424,1247,1
425,1258,1
426,1269,1
427,1271,3
428,1272,1
429,1273,1
430,1275,1
431,1276,1
432,1278,2
433,1283,1
434,1286,1
435,1294,1
436,1295,1
437,1297,1
438,1299,1
439,1300,1
440,1301,1
441,1302,1
442,1303,4
443,1307,3
444,1309,4
445,1311,1
446,1314,1
447,1315,2
448,1318,1
449,1321,1
450,1322,1
451,1329,1
452,1332,1
453,1333,2
454,1336,3
455,1339,2
456,1340,1
457,1349,1
458,1350,1
459,1351,2
460,1353,2
461,1355,13
462,1356,1
463,1357,1
464,1361,1
465,1362,1
466,1363,7
467,1364,2
468,1366,2
469,1372,1
470,1374,1
471,1376,2
472,1378,4
473,1381,1
474,1384,2
475,1385,3
476,1386,1
477,1393,1
478,1395,1
479,1396,4
480,1401,1
481,1402,4
482,1403,3
483,1405,3
484,1409,5
485,1417,1
486,1420,4
487,1428,5
488,1430,1
489,1431,1
490,1433,2
491,1438,1
492,1440,1
493,1441,3
494,1443,1
495,1444,1
496,1449,3
497,1450,2
498,1456,1
499,1458,1
500,1461,2
501,1463,1
502,1464,1
503,1466,2
504,1474,4
505,1477,1
506,1478,1
507,1479,1
508,1480,1
509,1481,9
510,1483,1
511,1484,1
512,1488,1
513,1490,2
514,1493,1
515,1504,1
516,1506,1
517,1507,2
518,1509,1
519,1515,1
520,1517,2
521,1521,1
522,1528,2
523,1529,1
524,1531,1
525,1533,1
526,1534,1
527,1536,1
528,1539,1
529,1540,1
530,1542,1
531,1544,2
532,1546,2
533,1547,2
534,1548,2
535,1549,2
536,1552,2
537,1553,1
538,1555,1
539,1556,2
540,1560,1
541,1563,1
542,1565,1
543,1570,4
544,1571,1
545,1573,2
546,1574,3
547,1575,1
548,1579,1
549,1580,3
550,1584,1
551,1586,1
552,1587,1
553,1588,1
554,1590,1
555,1591,4
556,1594,1
557,1597,3
558,1604,1
559,1606,2
560,1612,2
561,1615,1
562,1616,2
563,1619,4
564,1620,1
565,1623,10
566,1624,1
567,1626,1
568,1628,1
569,1629,1
570,1635,1
571,1639,1
572,1640,7
573,1641,1
574,1642,2
575,1650,2
576,1655,1
577,1659,1
578,1662,1
579,1668,3
580,1669,1
581,1671,1
582,1673,1
583,1685,1
584,1688,4
585,1689,1
586,1693,2
587,1694,1
588,1697,2
589,1698,2
590,1699,4
591,1702,9
592,1707,1
593,1709,1
594,1712,1
595,1716,1
596,1717,1
597,1718,1
598,1719,1
599,1722,1
600,1723,1
601,1724,1
602,1725,1
603,1727,1
604,1731,1
605,1734,1
606,1738,1
607,1741,1
608,1747,2
609,1749,1
610,1751,6
611,1755,1
612,1756,3
613,1757,1
614,1758,1
615,1759,2
616,1760,10
617,1761,1
618,1766,4
619,1767,1
620,1770,2
621,1772,1
622,1774,1
623,1779,2
624,1780,7
625,1782,4
626,1783,3
627,1791,1
628,1792,4
629,1795,1
630,1800,1
631,1801,1
632,1804,1
633,1805,1
634,1814,3
635,1829,2
636,1835,1
637,1838,1
638,1840,1
639,1841,1
640,1842,3
641,1848,4
642,1849,4
643,1852,5
644,1853,2
645,1855,1
646,1861,1
647,1865,3
648,1869,1
649,1874,1
650,1876,1
651,1878,1
652,1879,7
653,1881,1
654,1886,1
655,1890,1
656,1891,1
657,1894,1
658,1895,1
659,1896,3
660,1907,1
661,1908,1
662,1909,2
663,1911,1
664,1915,1
665,1916,1
666,1918,1
667,1919,3
668,1923,5
669,1924,1
670,1926,1
671,1929,3
672,1930,4
673,1934,8
674,1948,1
675,1949,4
676,1950,4
677,1952,1
678,1953,3
679,1955,1
680,1956,1
681,1959,4
682,1962,1
683,1974,1
684,1979,1
685,1980,1
686,1981,7
687,1984,1
688,1989,1
689,1990,3
690,1991,1
691,1992,2
692,1994,2
693,1995,1
694,1999,9
695,2003,2
696,2007,2
697,2009,2
698,2010,8
699,2013,1
700,2014,1
701,2022,5
702,2023,1
703,2033,1
704,2034,1
705,2038,1
706,2041,2
707,2043,1
708,2045,1
709,2048,2
710,2054,1
711,2055,1
712,2059,1
713,2063,2
714,2064,1
715,2065,3
716,2067,1
717,2069,1
718,2070,4
719,2071,1
720,2074,6
721,2079,1
722,2081,2
723,2086,1
724,2087,1
725,2090,3
726,2094,1
727,2097,1
728,2099,1
729,2100,2
730,2102,1
731,2103,1
732,2106,1
733,2107,3
734,2109,1
735,2113,1
736,2114,1
737,2119,2
738,2123,2
739,2124,1
740,2125,5
741,2126,2
742,2128,4
743,2134,1
744,2135,1
745,2136,4
746,2137,1
747,2141,1
748,2145,1
749,2146,2
750,2149,1
751,2152,3
752,2153,3
753,2154,1
754,2157,1
755,2158,1
756,2159,1
757,2161,5
758,2163,3
759,2166,1
760,2169,1
761,2171,1
762,2174,6
763,2175,1
764,2176,1
765,2179,1
766,2181,1
767,2182,2
768,2185,1
769,2190,3
770,2191,2
771,2193,1
772,2195,1
773,2202,5
774,2204,10
775,2213,1
776,2215,1
777,2218,1
778,2219,3
779,2223,1
780,2224,1
781,2226,1
782,2227,1
783,2228,1
784,2230,2
785,2231,1
786,2236,1
787,2238,1
788,2239,2
789,2242,1
790,2246,1
791,2247,1
792,2250,1
793,2252,1
794,2254,1
795,2255,4
796,2256,1
797,2259,1
798,2276,1
799,2293,2
800,2294,6
801,2298,1
802,2299,1
803,2300,1
804,2302,1
805,2304,1
806,2306,1
807,2307,1
808,2308,1
809,2314,1
810,2319,1
811,2321,1
812,2323,1
813,2328,3
814,2330,1
815,2332,1
816,2338,1
817,2344,1
818,2347,2
819,2350,1
820,2353,2
821,2358,1
822,2360,2
823,2363,2
824,2379,2
825,2384,2
826,2389,4
827,2391,6
828,2395,2
829,2396,4
830,2397,1
831,2400,4
832,2401,1
833,2402,1
834,2405,1
835,2406,5
836,2407,1
837,2409,1
838,2410,1
839,2416,4
840,2418,4
841,2423,5
842,2424,15
843,2427,3
844,2433,1
845,2445,2
846,2448,1
847,2450,1
848,2451,3
849,2453,1
850,2454,1
851,2460,1
852,2462,2
853,2463,1
854,2467,4
855,2471,5
856,2473,1
857,2474,3
858,2477,1
859,2481,2
860,2487,1
861,2496,1
862,2500,1
863,2508,1
864,2509,1
865,2515,1
866,2516,6
867,2518,1
868,2519,1
869,2520,3
870,2523,1
871,2524,6
872,2525,3
873,2526,1
874,2527,5
875,2528,1
876,2529,1
877,2530,2
878,2531,1
879,2543,1
880,2547,3
881,2549,1
882,2552,2
883,2553,2
884,2554,1
885,2555,2
886,2558,2
887,2566,1
888,2569,1
889,2570,1
890,2575,1
891,2576,1
892,2581,1
893,2584,4
894,2586,3
895,2587,1
896,2589,1
897,2591,1
898,2599,1
899,2600,7
900,2601,5
901,2603,1
902,2604,1
903,2607,1
904,2610,1
905,2612,2
906,2628,1
907,2629,4
908,2632,1
909,2640,1
910,2641,2
911,2642,1
912,2644,1
913,2646,1
914,2649,3
915,2652,1
916,2658,1
917,2659,5
918,2660,1
919,2661,1
920,2662,1
921,2663,1
922,2665,1
923,2666,1
924,2667,1
925,2670,2
926,2671,1
927,2676,2
928,2677,3
929,2685,1
930,2692,1
931,2697,1
932,2699,2
933,2700,1
934,2709,2
935,2711,2
936,2719,6
937,2728,1
938,2737,3
939,2740,3
940,2741,6
941,2743,2
942,2744,1
943,2747,3
944,2749,2
945,2752,1
946,2753,1
947,2760,1
948,2762,1
949,2765,2
950,2766,1
951,2768,3
952,2773,1
953,2775,2
954,2778,1
955,2784,1
956,2785,1
957,2786,2
958,2788,2
959,2789,2
960,2791,4
961,2792,1
962,2793,1
963,2794,1
964,2795,1
965,2796,1
966,2798,1
967,2803,1
968,2805,1
969,2808,1
970,2809,1
971,2814,1
972,2817,1
973,2819,1
974,2822,2
975,2825,1
976,2826,2
977,2827,3
978,2828,1
979,2839,2
980,2842,1
981,2847,4
982,2855,1
983,2856,3
984,2858,1
985,2869,2
986,2871,1
